X;Y;X_fit_1;X_fit_2
[64, 1, 16, 1];0.022678871616888408;[-0.6774722814516698];[-0.6774722814516567, -0.6057576734363481]
[128, 1, 1, 0];0.0030555766951071987;[-1.656149502548222];[-1.6561495025481978, -0.9870728998858723]
[64, 256, 1, 4];0.12305943070623257;[-0.7346948008249649];[-0.7346948008250095, 3.1533133491753014]
[128, 4, 4, 4];0.012258360553114425;[-1.6307663153720457];[-1.6307663153720295, -0.9577713178688549]
[64, 4, 2, 0];0.02474113081569346;[-0.7915390509381489];[-0.7915390509381353, -0.49659156782741065]
[2, 16, 8, 2];0.24446023060039515;[0.08967067201382552];[0.08967067201382335, 0.08646791527517934]
[4, 16, 32, 1];0.4861622709393773;[0.2598026633892181];[0.25980266338922037, -0.040400248000787814]
[4, 4, 1, 4];0.12349297319499054;[0.0024140807674496974];[0.0024140807674456585, -0.06834622617194613]
[4, 16, 8, 0];0.31797927701696227;[0.06293213633606351];[0.06293213633606565, 0.0723496676584083]
[16, 256, 4, 4];0.19683594860753492;[-0.06836112867707317];[-0.06836112867712488, 3.478057552520291]
[1, 1, 2, 4];0.00809794441591159;[0.04995045161677646];[0.0499504516167725, -0.09526208937367085]
[32, 8, 4, 0];0.13032076324525685;[-0.3462841077801828];[-0.34628410778017493, -0.22223500363153986]
[4, 2, 8, 1];0.05601176170288981;[0.05931840362826459];[0.05931840362826752, -0.13016183255549124]
[2, 1, 32, 2];0.015964896186946544;[0.2826693425943368];[0.2826693425943397, -0.24325860775605693]
[4, 4, 2, 0];0.1229826835076567;[0.01061701939466096];[0.010617019394664952, -0.07304413932442211]
[4, 8, 8, 4];0.24878640844652491;[0.060867146217324274];[0.06086714621732, -0.043371189606668956]
[4, 2, 16, 4];0.06192336768653007;[0.12494191264598518];[0.12494191264598281, -0.16774513777521693]
[2, 1, 16, 5];0.015858056540905056;[0.15142232455890356];[0.15142232455889904, -0.168091997316584]
[2, 8, 32, 1];0.12724766176148042;[0.2844762089482357];[0.2844762089482393, -0.14200285764910833]
[4, 1, 256, 5];0.02754889835467454;[2.093389059412681];[2.0933890594126985, -1.3097094015253354]
[64, 4, 4, 4];0.02660264566144454;[-0.7751331736837157];[-0.7751331736837099, -0.5059873941323342]
[32, 4, 2, 0];0.08615241850139545;[-0.36372248009398356];[-0.3637224800939752, -0.27069960595915016]
[1, 8, 64, 5];0.06505062960599212;[0.5603395128579911];[0.5603395128579896, -0.28527695471964704]
[8, 8, 2, 0];0.2605551979134533;[-0.04182755690148824];[-0.04182755690148454, -0.0434202059254114]
[4, 4, 16, 3];0.10079812098619925;[0.12545816017567];[0.12545816017566927, -0.13881492345894766]
[2, 4, 8, 0];0.06257144590499437;[0.08657318683570975];[0.08657318683571386, -0.08711337062245549]
[2, 2, 2, 2];0.0204562776698411;[0.036839307542737364];[0.036839307542737475, -0.08785610602392295]
